CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,dif_first,dif_last
JJN-3,1327766,256,256_1327766,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9510719940000001,0.967551086,0.903912132,0.820064335,0.6399812770000001,0.404241476,0.037923444,0.008814027,0.002433726,JW-7-24-1,JJN-3,0.04892800599999991,0.006380301
PF-382,909260,235,235_909260,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9502455329999999,0.90243179,0.8726793140000001,0.646413574,0.37814630200000005,0.11508429,0.00861808,0.005051004,0.007960057,QL-XII-47,PF-382,0.04975446700000008,0.002909052999999999
VCaP,1299075,140,140_1299075,2,0.064,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9725771990000001,0.851252094,0.95070979,0.8077496120000001,0.8495424009999999,0.516566329,0.320868294,0.271087675,0.318327745,Vinorelbine,VCaP,0.02742280099999994,0.04724007000000002
EBC-1,753554,184,184_753554,2,2.56,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.975669162,0.9736931999999999,0.996984084,0.990931137,0.934492297,0.8678302990000001,0.728310103,0.022862123999999998,0.027127837000000002,BMS-754807,EBC-1,0.02433083800000002,0.004265713000000004
PCI-6A,1240206,1003,1003_1240206,2,0.1,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.96644498,0.79647151,0.680640971,0.432675115,0.245037964,0.19150377100000002,0.130674958,0.11612466,0.134274102,Camptothecin,PCI-6A,0.03355501999999999,0.018149442000000002
SW954,924247,276,276_924247,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9800986829999999,0.8889481290000001,0.6629011260000001,0.32035124800000003,0.199188105,0.136478811,0.044301809000000004,0.014962646999999999,0.017193973,CAY10603,SW954,0.019901317000000085,0.0022313260000000022
SUP-HD1,1331039,200,200_1331039,2,1.024,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.986594093,0.857809901,0.66156442,0.390352277,0.20098091699999998,0.298685725,0.117128834,0.11069296199999999,0.120984552,Dacinostat,SUP-HD1,0.013405906999999995,0.010291590000000003
Hs-633T,1240149,274,274_1240149,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.956394002,0.833031464,0.616796172,0.111465735,0.04533795,0.012599849,0.010219782,0.00861875,0.010013567,Belinostat,Hs-633T,0.04360599799999998,0.0013948169999999996
U-118-MG,687588,182,182_687588,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.9671721520000001,0.876083198,0.530512115,0.428041823,0.253020814,0.108408121,0.019788382,-0.005129013,-0.020301297,Obatoclax Mesylate,U-118-MG,0.03282784799999994,0.015172284
NCI-H526,688025,134,134_688025,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.987246555,0.8703717190000001,0.688187267,0.562052263,0.245865058,0.08868814400000001,0.060575227999999995,0.027145348,0.026243075,Etoposide,NCI-H526,0.012753444999999974,0.0009022729999999986
