CELL_LINE_NAME,COSMIC_ID,DRUG_ID,DRUGID_COSMICID,FOLD_DILUTION,MAX_CONC,fd_num_0,fd_num_1,fd_num_2,fd_num_3,fd_num_4,fd_num_5,fd_num_6,fd_num_7,fd_num_8,fd_num_9,norm_cells_0,norm_cells_1,norm_cells_2,norm_cells_3,norm_cells_4,norm_cells_5,norm_cells_6,norm_cells_7,norm_cells_8,norm_cells_9,drug_name,CCL_name,auc,spearman_r,count_missing
SCC-25,910701,291,291_910701,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.124249709,1.039892365,1.064170679,1.153396745,1.030212966,1.173640766,0.86863085,0.48897927,0.038096309,KIN001-266,SCC-25,0.9402468339848912,-0.4787878787878787,0
COLO-741,906815,219,219_906815,2,10.24,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.024668612,0.968046427,0.995523539,1.002539281,1.002880939,1.025102125,0.989214635,0.8213184929999999,0.131887077,AT-7519,COLO-741,0.9328041766810172,-0.4424242424242424,0
HEC-1,907051,272,272_907051,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.975904471,1.023240151,1.033017263,0.988729866,0.894939195,0.481248848,0.225718982,0.139487473,0.085480035,AR-42,HEC-1,0.7005584742968316,-0.8545454545454544,0
PCI-4B,1298531,159,159_1298531,2,5.12,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.062055218,1.070857338,1.108544129,0.984578272,0.790506388,0.604911975,0.375819085,0.204317208,0.067392803,HG6-64-1,PCI-4B,0.7483651128613995,-0.8787878787878788,0
CADO-ES1,753539,245,245_753539,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.925741486,1.025681534,0.898798172,0.965850175,0.932628869,0.877088635,0.7531506609999999,0.056293542,-0.010409331,UNC0638,CADO-ES1,0.7700031566792364,-0.8424242424242423,0
SUP-B15,1247871,203,203_1247871,2,16.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.949293898,0.957909289,0.946804473,1.007703789,0.891484591,0.679369991,0.404941696,0.070746188,0.012870817,BMS-345541,SUP-B15,0.7127432584035177,-0.8666666666666665,0
NUGC-4,1298357,245,245_1298357,2,40.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.014654821,1.034756354,0.993352216,0.920446514,0.8859464509999999,0.552106839,0.378824934,0.280548516,0.008568323000000001,UNC0638,NUGC-4,0.7294356453404275,-0.9515151515151514,0
MDA-MB-330,1330941,344,344_1330941,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,1.054695113,0.826652572,1.016001289,0.958671383,0.888173755,0.7816172640000001,0.616095178,0.494213671,0.009403396,THZ-2-49,MDA-MB-330,0.793424658241109,-0.8787878787878788,0
MOLP-8,1330950,291,291_1330950,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.919845899,0.931798647,0.890975085,0.8600641720000001,0.916330597,0.8394580970000001,0.8063991429999999,0.774790207,-0.005257886999999999,KIN001-266,MOLP-8,0.8263369893396381,-0.9515151515151514,0
T-24,724812,291,291_724812,2,20.0,0,0.111111111,0.222222222,0.333333333,0.444444444,0.5555555560000001,0.666666667,0.7777777779999999,0.8888888890000001,1.0,1,0.955191475,0.977781929,0.975573314,0.954808718,0.92037735,0.973686682,0.925946731,0.91277263,0.086858159,KIN001-266,T-24,0.9043964343109744,-0.8424242424242423,0
